dateCreated,dateModified,entry_id,entry_guid,form,lang,trait,order,rel_order,rel_type,rel_ref,rel_primacy,rel_compform,rel_variant,sense_id,sense_order,sense_gram,sense_gloss_en,sense_gloss_idn,rev_en,rev_id,pict,etym_type,etym_proto,etym_borrowed,x_eno_source,x_eno,x_idn,x_eng,notes_eng,notes_idn,cit_form
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,rai_00f60bb7-2b1c-44ce-a67e-acb4948f3559,00f60bb7-2b1c-44ce-a67e-acb4948f3559,rai,eno,stem,,0,_component-lexeme,kai2_82fc8d9c-426d-439e-99d7-cfd4ac3b1a51,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-09T22:34:23Z,dapah_00fdd394-3165-47b9-8ee4-5f585491f7bf,00fdd394-3165-47b9-8ee4-5f585491f7bf,dapah,eno,stem,,,,,,,,30af6523-732d-41ba-9edb-26f32928afef,,Noun (Indo.),spices,rempah,spices,rempah,,borrowed,,Idn.,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,ma_00fdef60-5e50-4d97-bdbc-12430c8e78de,00fdef60-5e50-4d97-bdbc-12430c8e78de,ma,eno,stem,,0,_component-lexeme,ba2_886839aa-234f-4fbc-b552-8228a8814225,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,tarai_01091049-22d6-4efc-be29-c990c106f388,01091049-22d6-4efc-be29-c990c106f388,tarai,eno,stem,,,,,,,,9520da7e-024e-4fa6-9187-dcc6add072f1,,Noun,lemongrass,serai,lemongrass,serai,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,kari'iė_0116fe23-0c5e-4b3e-927f-6f7f361b0874,0116fe23-0c5e-4b3e-927f-6f7f361b0874,kari'iė,eno,stem,,,,,,,,f4fdcf79-dc18-4706-bc22-4ced8ad2ebbb,,Noun,"a type of forest wood whose stems are used as spears, axe handles, and so on.","jenis kayu hutan yang batangnya digunakan sebagai tombak, gagang kampak, dan lain sebagainya.","a type of forest wood whose stems are used as spears, axe handles, and so on.","jenis kayu hutan yang batangnya digunakan sebagai tombak, gagang kampak, dan lain sebagainya.",,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,sekolah_011a41e3-df56-41c7-ac83-ef1d42102359,011a41e3-df56-41c7-ac83-ef1d42102359,sekolah,eno,stem,,0,_component-lexeme,tekora_f8f5df0a-5aa0-4ff4-b1e4-9fced13d1ea1,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,moie'_01214f51-c158-4bdf-9a17-631d7a5a0b0a,01214f51-c158-4bdf-9a17-631d7a5a0b0a,moie',eno,stem,,,,,,,,d4a23e7d-cdf4-4842-9af1-783809396331,,Noun,monkey,monyet,monkey,monyet,128.png,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,du̇hu̇a_014982f9-82ab-4bdf-83c8-5eb865802363,014982f9-82ab-4bdf-83c8-5eb865802363,du̇hu̇a,eno,stem,,,,,,,,136f5675-d675-4502-8ec2-0b75c3be672f,,Noun,bitter,pahit,bitter,pahit,,proto,dahėai,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,-h1_015e5156-e156-432f-9878-14c6d38d3ed6,015e5156-e156-432f-9878-14c6d38d3ed6,-h,eno,suffix,1,0,_component-lexeme,-a1_b72c9dd6-290c-409c-8e1a-ca28a5c26fed,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-09T10:52:28Z,enggano_016ac6f0-f2fd-4206-ab2a-f908b335ca25,016ac6f0-f2fd-4206-ab2a-f908b335ca25,enggano,eno,stem,,0,_component-lexeme,Enggano_50702c53-5895-4c84-93bc-752b900a12fa,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,õkĩ_01a63119-fdf2-4613-a264-cb5800d2f5b7,01a63119-fdf2-4613-a264-cb5800d2f5b7,õkĩ,eno,stem,,,,,,,,23039a34-d0aa-4db1-849f-92a11b1395be,,Verb,smear,oles,smear,oles,,proto,uhẽĩ,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,piak_01a7a5cc-b01a-4c08-8424-dadf1add5950,01a7a5cc-b01a-4c08-8424-dadf1add5950,piak,eno,stem,,,,,,,,ef23146c-25d0-479b-979f-7ccb1466106c,,Verb,tired,letih,tired,letih,,proto,piaka,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,aur_01b4b6e7-1bb2-40e7-8fdd-a835812777ed,01b4b6e7-1bb2-40e7-8fdd-a835812777ed,aur,eno,stem,,,,,,,,bd340b69-7d82-4707-a354-b2fd2cfc4d77,,Verb,go first,duluan,go first,duluan,,proto,audu,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,ya'au1_01e83d74-33f4-4688-b7d1-6d8d21c52c82,01e83d74-33f4-4688-b7d1-6d8d21c52c82,ya'au,eno,stem,1,0,_component-lexeme,ya'a2_1e3be29d-e592-44a2-a0ab-879d718b99ca,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,rara_01eab2d6-0c74-4926-bbff-8dd97dc17eee,01eab2d6-0c74-4926-bbff-8dd97dc17eee,rara,eno,stem,,0,_component-lexeme,year_3801e47a-1f50-46b2-ba05-f0489c032d51,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,a'hau3_0203d73c-e1b5-4504-85a6-96f0ae8d8960,0203d73c-e1b5-4504-85a6-96f0ae8d8960,a'hau,eno,stem,3,0,_component-lexeme,pakõ'õã'_d8a9683d-2edb-416d-a1e9-8f69b5fad76b,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,araė'_0218da95-fae4-425f-8d41-61cabf211637,0218da95-fae4-425f-8d41-61cabf211637,araė',eno,stem,,,,,,,,29cf4cd0-7542-404e-bf17-4d8616b15a40,,Noun,foreigner,orang lain,foreigner,orang lain,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,kė3_021cd7e8-1ea6-4a8e-b041-fcc582065a6d,021cd7e8-1ea6-4a8e-b041-fcc582065a6d,kė,eno,stem,3,0,_component-lexeme,kė'_a454c997-f8d9-4934-b005-b879f75c481b,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,kapaku'_0226ea5c-ee5d-4b90-a706-d49aa62908c3,0226ea5c-ee5d-4b90-a706-d49aa62908c3,kapaku',eno,stem,,0,_component-lexeme,paku'_07155acf-bded-49e1-9a6d-42cb7acf448b,true,Complex Form,,7d16af84-502c-457a-b7ac-d0721440feec,,Verb,throw away,membuang,throw away,membuang,,,,,SD_3,"A hoba'tahur kõ'ĩã, baru kapaku' e'iukde.","Ketika melinjonya panas, kita singkirkan/buang kulitnya.","When the melinjo is hot, we throw away the skins.",,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,kapaku'_0226ea5c-ee5d-4b90-a706-d49aa62908c3,0226ea5c-ee5d-4b90-a706-d49aa62908c3,kapaku',eno,stem,,0,_component-lexeme,paku'_07155acf-bded-49e1-9a6d-42cb7acf448b,true,Complex Form,,7d16af84-502c-457a-b7ac-d0721440feec,,Verb,throw away,membuang,throw away,membuang,,,,,SD_3,"Adu̇hu̇r kapaku' iukde, baru pihia' kabutoko' her kõ'ĩã ean.","Setelah menyingkirkan/membuang kulitnya, barulah kita bisa menumbuk isian melinjonya.",Then we can pound the insides of the melinjo.,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,patu'_022ab9b9-35d8-4011-b01a-c889131b51d9,022ab9b9-35d8-4011-b01a-c889131b51d9,patu',eno,stem,,0,_component-lexeme,paku'_07155acf-bded-49e1-9a6d-42cb7acf448b,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,kahai_024a20f1-4d60-4349-b17b-50b19963e48b,024a20f1-4d60-4349-b17b-50b19963e48b,kahai,eno,stem,,0,_component-lexeme,ah1_99bca381-b927-4bee-b25f-5ee5485e37c0,true,Complex Form,,8ada3509-5ad3-4f78-b7fc-be6b0d5d672f,,Verb,go,pergi,go,pergi,,,,,SMP_12,Nakuan Nus he Ali kahai ya'au?,Kapan Nus dan Ali pergi melaut?,When do Nus and Ali go to the ocean?,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,kahai_024a20f1-4d60-4349-b17b-50b19963e48b,024a20f1-4d60-4349-b17b-50b19963e48b,kahai,eno,stem,,0,_component-lexeme,ah1_99bca381-b927-4bee-b25f-5ee5485e37c0,true,Complex Form,,8ada3509-5ad3-4f78-b7fc-be6b0d5d672f,,Verb,go,pergi,go,pergi,,,,,SMP_3,Nakuan ya'ude a ė' kahai ya'au?,"Kapan baiknya jika kalian (mau) pergi ke laut (yaitu, pergi memancing)?","When is the good time if you (want to) go to the ocean (i.e., go fishing)?",,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,kahai_024a20f1-4d60-4349-b17b-50b19963e48b,024a20f1-4d60-4349-b17b-50b19963e48b,kahai,eno,stem,,0,_component-lexeme,ah1_99bca381-b927-4bee-b25f-5ee5485e37c0,true,Complex Form,,8ada3509-5ad3-4f78-b7fc-be6b0d5d672f,,Verb,go,pergi,go,pergi,,,,,SMP_2,"Zefrian : Arė, kayadi ik kahai maham?","Zefrian: Apa kabar, kita jadi pergi memancing?","Zefrian: What's up, do we still go fishing?",,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,ahino_0253a900-6871-48b8-9951-d1d7db57d837,0253a900-6871-48b8-9951-d1d7db57d837,ahino,eno,stem,,,,,,,,d5db497d-13e7-43e0-ba50-9c5e0e79df05,,Verb,dig,menggali,dig,menggali,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,ku' eko_02552103-8a60-4f27-8ba5-11cef9f19092,02552103-8a60-4f27-8ba5-11cef9f19092,ku' eko,eno,phrase,,0,_component-lexeme,akė_c9737fae-6a92-46a4-83ad-4e985353691f,true,Complex Form,,7b45f204-3c48-4951-a65d-852c7431608d,,Noun,road intersection,persimpangan jalan,road intersection,persimpangan jalan,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,ame_026de4fc-77db-4436-b019-a999ccab3e34,026de4fc-77db-4436-b019-a999ccab3e34,ame,eno,stem,,,Compare,eo2_98916a64-c0bb-41cb-9ef2-ce938248dcc2,,,,9f5d3e24-b6a1-4779-810d-0b503ebadb42,,Noun,clams (a kind of sea mollusk),kima (jenis kerang laut),clams (a kind of sea mollusk),kima (jenis kerang laut),3.jpg,proto,(')amee,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,kamėn_0279865a-cae0-4054-8e4e-917aaa6b61d4,0279865a-cae0-4054-8e4e-917aaa6b61d4,kamėn,eno,stem,,0,_component-lexeme,mėn_d71bd6b9-baf9-409d-b236-3b3fedf087cf,true,Complex Form,,ad92cd9c-904e-4a2a-be2a-d337630e3db1,,Verb,sweet,manis,sweet,manis,,,,,SMP_5,"Hĩũ mė' kamėn, ẽ' hai mėk vitaminde.",Buah yang manis ini juga mengandung banyak vitamin.,This sweet fruit also has many vitamins.,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,kamėn_0279865a-cae0-4054-8e4e-917aaa6b61d4,0279865a-cae0-4054-8e4e-917aaa6b61d4,kamėn,eno,stem,,0,_component-lexeme,mėn_d71bd6b9-baf9-409d-b236-3b3fedf087cf,true,Complex Form,,ad92cd9c-904e-4a2a-be2a-d337630e3db1,,Verb,sweet,manis,sweet,manis,,,,,SMP_5,“Hĩũ it jantan ẽ' kamėn he ka'man.”,“Buah pisang jantan ini manis dan harum.”,“This male banana fruit is sweet and fragrant.”,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,ako'ok_027dbb12-aeb1-4fb3-9df1-b55556712233,027dbb12-aeb1-4fb3-9df1-b55556712233,ako'ok,eno,stem,,,,,,,,6a23a3d5-7f7e-4c00-af4d-031a54b5b3ce,,Noun,lola clams,lola,lola clams,lola,168.jpg,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,Hėkė'_0283d530-4f4a-4a44-922c-0a8db44ac476,0283d530-4f4a-4a44-922c-0a8db44ac476,Hėkė',eno,stem,,0,_component-lexeme,Hu̇ku̇'_fea69d22-d9be-420f-896d-d252b23e94e4,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-09T22:34:23Z,dadė_029ec76f-a1c0-414c-ba22-709c01a02fe9,029ec76f-a1c0-414c-ba22-709c01a02fe9,dadė,eno,stem,,,,,,,,6d02e502-c579-473c-a8cf-c4470f6ff900,,Noun (Indo.),chili,cabe,chili,cabe,20.png,borrowed,,Old Idn.,SMP_2,"Be dadė ean mėk, ki'iėb Dara kapuh kita.","Karena (makan) cabai sebanyak itu, Dara menjadi sakit perut.","Because of those many chilies, (they) make Dara got stomach ache.",,,
2024-12-02T06:10:58Z,2024-12-09T22:34:23Z,dadė_029ec76f-a1c0-414c-ba22-709c01a02fe9,029ec76f-a1c0-414c-ba22-709c01a02fe9,dadė,eno,stem,,,,,,,,6d02e502-c579-473c-a8cf-c4470f6ff900,,Noun (Indo.),chili,cabe,chili,cabe,20.png,borrowed,,Old Idn.,SMP_2,Dara kapuh kita adu̇hu̇r yono dadė.,Dara sakit perut setelah makan cabai.,Dara got a stomach ache after eating chili.,,,
2024-12-02T06:10:58Z,2024-12-09T22:34:23Z,dadė_029ec76f-a1c0-414c-ba22-709c01a02fe9,029ec76f-a1c0-414c-ba22-709c01a02fe9,dadė,eno,stem,,,,,,,,6d02e502-c579-473c-a8cf-c4470f6ff900,,Noun (Indo.),chili,cabe,chili,cabe,20.png,borrowed,,Old Idn.,SMP_5,"Kak mė' ka'pi i Enggano mulai yarė' it, yarė' kõ'ĩã, yarė' dadė, dakiar pihia' bubkė' i dop Enggano.","Orang yang berkebun di Enggano mulai menanam pisang, menanam melinjo, dan menanam cabe; semua bisa menanam/berkebun di daerah Enggano.","People gardening in Enggano started planting banana, melinjo, and chili, all can plant/garden in Enggano.",,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,ahpu̇'_02a156d1-1408-44ea-890b-73cf9d12207a,02a156d1-1408-44ea-890b-73cf9d12207a,ahpu̇',eno,stem,,0,_component-lexeme,hapu̇'1_99dbad53-0bf4-44d8-b79e-d4e7ebb0c7e1,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,anu̇kė_02bd74a9-6f87-4ca3-b392-0c9d879958d2,02bd74a9-6f87-4ca3-b392-0c9d879958d2,anu̇kė,eno,stem,,,,,,,,8dab1b06-89ad-4328-b72c-8ba1f7b482ff,,Noun,a kind of caterpillar,nama sejenis ulat,a kind of caterpillar,nama sejenis ulat,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-12T02:55:07Z,kėsendet_02c2dfe8-b1b5-45b6-9a42-afbd9d24b447,02c2dfe8-b1b5-45b6-9a42-afbd9d24b447,kėsendet,eno,stem,,,,,,,,570aaafa-49ea-4f76-b0a1-440c32f45744,,Noun,Physalis Angulata,ciplukan,Physalis Angulata,ciplukan,235.jpg,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,kiaki_02c4e3e5-ebf8-457e-bb02-3f1ced7b840d,02c4e3e5-ebf8-457e-bb02-3f1ced7b840d,kiaki,eno,stem,,0,_component-lexeme,kiak_45387a37-e251-40f1-bf8a-bfad40bbbe88,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,Kahua_02ca1a56-8591-458e-8ba1-7ba8017294e8,02ca1a56-8591-458e-8ba1-7ba8017294e8,Kahua,eno,stem,,0,_component-lexeme,Kaahoao_24318ffb-6334-4e32-b821-f0a911e95087,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:10:59Z,meh3_02cbfefc-5297-442d-9435-cb221707af77,02cbfefc-5297-442d-9435-cb221707af77,meh,eno,stem,3,0,_component-lexeme,mėh_0b4c0fb6-48ca-45fc-a87c-42bbc3e7fa57,,,Unspecified Variant,,,,,,,,,,,,,,,,,,
2024-12-02T06:10:59Z,2024-12-02T06:11:01Z,dobah_030622a3-364f-4533-b115-af1efe25a5ce,030622a3-364f-4533-b115-af1efe25a5ce,dobah,eno,stem,,,,,,,,df8d3ed8-0fd1-4fc4-ab21-cc12634c70e1,,Noun,shrub plantations,tanaman perdu,shrub plantations,tanaman perdu,149.jpg,,,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:10:58Z,a2_0322529b-dfe1-42fc-bfc2-8f724471de2d,0322529b-dfe1-42fc-bfc2-8f724471de2d,a,eno,stem,2,,,,,,,dd55b095-14a6-41cc-a624-546278b85fb2,,Verb,come,datang,come,datang,,proto,ai,,,,,,,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kih ka:h_d74c194d-b767-4e95-b267-19d999ed917d,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Paica kurdi nide ẽ' yurde da'pu̇ah yur kih,"Parang-parang tunggit (""paic kurdi"") ini, gagangnya kelihatan seperti kepala semut","These kurdi machetes, the head looks like the head of ant",,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kih ka:h_d74c194d-b767-4e95-b267-19d999ed917d,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Yur kih,Kepala semut,"The head of an ant (for the head of the ""paic kurdi"" 'the sharp-shaped-blade machette')",,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kih ka:h_d74c194d-b767-4e95-b267-19d999ed917d,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Yur kih,"Kepala semut (untuk bentuk gagang ""parang tunggit"")","The head of an ant (for the head of the ""paic kurdi"" 'the sharp-shaped-blade machette')",,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kaė'iur_14345323-f971-472c-aa76-122f2c54aa80,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Paica kurdi nide ẽ' yurde da'pu̇ah yur kih,"Parang-parang tunggit (""paic kurdi"") ini, gagangnya kelihatan seperti kepala semut","These kurdi machetes, the head looks like the head of ant",,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kaė'iur_14345323-f971-472c-aa76-122f2c54aa80,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Yur kih,Kepala semut,"The head of an ant (for the head of the ""paic kurdi"" 'the sharp-shaped-blade machette')",,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kaė'iur_14345323-f971-472c-aa76-122f2c54aa80,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Yur kih,"Kepala semut (untuk bentuk gagang ""parang tunggit"")","The head of an ant (for the head of the ""paic kurdi"" 'the sharp-shaped-blade machette')",,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kih dorpu_15998511-ec80-491e-8602-de775cbcd90c,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Paica kurdi nide ẽ' yurde da'pu̇ah yur kih,"Parang-parang tunggit (""paic kurdi"") ini, gagangnya kelihatan seperti kepala semut","These kurdi machetes, the head looks like the head of ant",,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kih dorpu_15998511-ec80-491e-8602-de775cbcd90c,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Yur kih,Kepala semut,"The head of an ant (for the head of the ""paic kurdi"" 'the sharp-shaped-blade machette')",,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kih dorpu_15998511-ec80-491e-8602-de775cbcd90c,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Yur kih,"Kepala semut (untuk bentuk gagang ""parang tunggit"")","The head of an ant (for the head of the ""paic kurdi"" 'the sharp-shaped-blade machette')",,,
2024-12-02T06:10:58Z,2024-12-02T06:11:01Z,kih1_033accf6-08bc-4c09-9835-11bb4678a4ec,033accf6-08bc-4c09-9835-11bb4678a4ec,kih,eno,stem,1,,Compare,kih kahė'iur_7e8a9d98-77c7-4213-90f4-1497fde0b4b9,,,,4d463791-4481-4a2e-b6fe-f70b75fa4ed7,,Noun,ant,semut,ant,semut,94.jpg,proto,kixo,,Attire_03_MK,Paica kurdi nide ẽ' yurde da'pu̇ah yur kih,"Parang-parang tunggit (""paic kurdi"") ini, gagangnya kelihatan seperti kepala semut","These kurdi machetes, the head looks like the head of ant",,,
